ParticipantID,DataType,AttemptNumber,Movement,Error,AudioCue,Time,CurrentAudioType,Gender,VideoGame
test 32,P,1,Turns Left,N/A,0,11.479,practice
test 32,P,1,Turns Right,N/A,50,12.59865,practice
